Estrella,Retamozo,despeje,1.0,14.0,50.0,50.0,,,1,74.0,3
Estrella,Romo,recuperacion,1.0,17.0,55.0,52.0,,,1,77.0,3
Estrella,Romo,pase,1.0,18.0,55.0,52.0,59.0,42.0,1,78.0,3
Estrella,Villoldo,pase,1.0,19.0,59.0,41.0,55.0,25.0,1,79.0,3
Estrella,Dedomingo,pase,1.0,19.0,55.0,24.0,70.0,31.0,1,79.0,3
Estrella,Risculese,pase,1.0,22.0,70.0,30.0,75.0,10.0,1,82.0,3
Estrella,Gerardi,recuperacion,2.0,22.0,3.0,62.0,,,1,142.0,3
Estrella,Gerardi,pase,2.0,29.0,14.0,62.0,65.0,72.0,1,149.0,3
Estrella,Barneix,recuperacion,2.0,32.0,40.0,80.0,,,1,152.0,3
Estrella,Barneix,pase,2.0,34.0,40.0,79.0,65.0,95.0,1,154.0,3
Estrella,Villoldo,perdida,2.0,37.0,65.0,95.0,,,1,157.0,3
Estrella,Barneix,despeje,3.0,1.0,42.0,94.0,,,1,181.0,3
Estrella,Gerardi,pase,3.0,37.0,5.0,62.0,68.0,67.0,1,217.0,3
Estrella,Retamozo,recuperacion,3.0,40.0,45.0,50.0,,,1,220.0,3
Estrella,Retamozo,pase,3.0,41.0,44.0,49.0,45.0,58.0,1,221.0,3
Estrella,Romo,pase,3.0,43.0,44.0,57.0,45.0,79.0,1,223.0,3
Estrella,Barneix,pase,3.0,48.0,44.0,79.0,96.0,58.0,1,228.0,3
Estrella,Retamozo,despeje,4.0,5.0,25.0,62.0,,,1,245.0,3
Estrella,Sanjiau,despeje,4.0,46.0,10.0,61.0,,,1,286.0,3
Estrella,Villoldo,despeje,4.0,48.0,19.0,53.0,,,1,288.0,3
Estrella,Sanjiau,despeje,4.0,49.0,15.0,66.0,,,1,289.0,3
Estrella,Dedomingo,recuperacion,4.0,52.0,20.0,68.0,,,1,292.0,3
Estrella,Dedomingo,perdida,4.0,54.0,28.0,67.0,,,1,294.0,3
Estrella,Gerardi,recuperacion,4.0,56.0,4.0,57.0,,,1,296.0,3
Estrella,Gerardi,pase,5.0,3.0,4.0,56.0,24.0,6.0,1,303.0,3
Estrella,Tourn,conduccion,5.0,8.0,24.0,6.0,33.0,5.0,1,308.0,3
Estrella,Tourn,pase,5.0,9.0,33.0,4.0,69.0,63.0,1,309.0,3
Estrella,Videla,falta recibida,5.0,11.0,69.0,62.0,,,1,311.0,3
Estrella,Dedomingo,tiro libre,6.0,9.0,69.0,62.0,98.0,58.0,1,369.0,3
Estrella,Barneix,despeje,6.0,15.0,35.0,74.0,,,1,375.0,3
Estrella,Retamozo,recuperacion,6.0,16.0,45.0,86.0,,,1,376.0,3
Estrella,Retamozo,pase,6.0,19.0,44.0,86.0,68.0,91.0,1,379.0,3
Estrella,Romo,recuperacion,6.0,20.0,50.0,91.0,,,1,380.0,3
Estrella,Romo,pase,6.0,21.0,50.0,90.0,75.0,85.0,1,381.0,3
Estrella,Videla,perdida,6.0,23.0,74.0,84.0,,,1,383.0,3
Estrella,Villoldo,recuperacion,6.0,26.0,50.0,64.0,,,1,386.0,3
Estrella,Villoldo,pase,6.0,27.0,50.0,63.0,55.0,67.0,1,387.0,3
Estrella,Romo,pase,6.0,27.0,55.0,67.0,50.0,73.0,1,387.0,3
Estrella,Villoldo,pase,6.0,29.0,50.0,73.0,65.0,71.0,1,389.0,3
Estrella,Dedomingo,pase,6.0,30.0,64.0,71.0,81.0,91.0,1,390.0,3
Estrella,Barneix,centro,6.0,34.0,80.0,91.0,80.0,63.0,1,394.0,3
Estrella,Villoldo,perdida,6.0,35.0,80.0,63.0,,,1,395.0,3
Estrella,Barneix,centro,6.0,55.0,80.0,98.0,89.0,66.0,1,415.0,3
Estrella,Romo,pase,6.0,58.0,89.0,65.0,84.0,70.0,1,418.0,3
Estrella,Villoldo,pase,7.0,2.0,83.0,68.0,84.0,79.0,1,422.0,3
Estrella,Barneix,pase,7.0,2.0,84.0,78.0,77.0,78.0,1,422.0,3
Estrella,Retamozo,centro,7.0,5.0,76.0,78.0,90.0,35.0,1,425.0,3
Estrella,Videla,perdida,7.0,6.0,90.0,34.0,,,1,426.0,3
Estrella,Risculese,recuperacion,7.0,8.0,85.0,19.0,,,1,428.0,3
Estrella,Risculese,conduccion,7.0,11.0,84.0,18.0,90.0,5.0,1,431.0,3
Estrella,Risculese,centro,7.0,14.0,90.0,5.0,98.0,66.0,1,434.0,3
Estrella,Barneix,pase,7.0,15.0,98.0,66.0,88.0,64.0,1,435.0,3
Estrella,Videla,remate,7.0,16.0,87.0,63.0,98.0,46.0,1,436.0,3
Estrella,Retamozo,recuperacion,7.0,19.0,58.0,49.0,,,1,439.0,3
Estrella,Retamozo,remate,7.0,23.0,58.0,48.0,99.0,59.0,1,443.0,3
Estrella,Sanjiau,recuperacion,8.0,6.0,10.0,21.0,,,1,486.0,3
Estrella,Sanjiau,perdida,8.0,9.0,10.0,12.0,,,1,489.0,3
Estrella,Retamozo,despeje,8.0,14.0,1.0,18.0,,,1,494.0,3
Estrella,Gerardi,pase,8.0,30.0,1.0,39.0,5.0,31.0,1,510.0,3
Estrella,Graso,pase,8.0,33.0,5.0,29.0,25.0,4.0,1,513.0,3
Estrella,Tourn,pase,8.0,37.0,25.0,3.0,64.0,21.0,1,517.0,3
Estrella,Barneix,recuperacion,8.0,48.0,30.0,74.0,,,1,528.0,3
Estrella,Barneix,conduccion,8.0,52.0,30.0,73.0,44.0,83.0,1,532.0,3
Estrella,Barneix,pase,8.0,52.0,44.0,83.0,45.0,67.0,1,532.0,3
Estrella,Romo,pase,8.0,54.0,45.0,67.0,25.0,91.0,1,534.0,3
Estrella,Sanjiau,pase,9.0,0.0,24.0,91.0,89.0,95.0,1,540.0,3
Estrella,Romo,despeje,9.0,55.0,65.0,97.0,,,1,595.0,3
Estrella,Retamozo,despeje,10.0,10.0,35.0,91.0,,,1,610.0,3
Estrella,Romo,recuperacion,10.0,11.0,40.0,90.0,,,1,611.0,3
Estrella,Romo,pase,10.0,12.0,40.0,90.0,35.0,91.0,1,612.0,3
Estrella,Retamozo,pase,10.0,14.0,35.0,91.0,50.0,89.0,1,614.0,3
Estrella,Dedomingo,despeje,10.0,46.0,54.0,13.0,,,1,646.0,3
Estrella,Retamozo,recuperacion,10.0,49.0,54.0,29.0,,,1,649.0,3
Estrella,Retamozo,pase,10.0,51.0,54.0,28.0,70.0,48.0,1,651.0,3
Estrella,Videla,pase,10.0,52.0,70.0,47.0,70.0,31.0,1,652.0,3
Estrella,Villoldo,pase,10.0,55.0,69.0,30.0,90.0,72.0,1,655.0,3
Estrella,Barneix,centro,10.0,56.0,90.0,71.0,85.0,38.0,1,656.0,3
Estrella,Sanjiau,despeje,11.0,1.0,40.0,74.0,,,1,661.0,3
Estrella,Barneix,despeje,11.0,11.0,34.0,93.0,,,1,671.0,3
Estrella,Romo,falta recibida,11.0,17.0,35.0,88.0,,,1,677.0,3
Estrella,Sanjiau,tiro libre,11.0,41.0,35.0,88.0,90.0,36.0,1,701.0,3
Estrella,Risculese,perdida,11.0,41.0,90.0,35.0,,,1,701.0,3
Estrella,Retamozo,despeje,11.0,46.0,49.0,33.0,,,1,706.0,3
Estrella,Retamozo,falta cometida,11.0,50.0,48.0,43.0,,,1,710.0,3
Estrella,Barneix,despeje,12.0,17.0,10.0,79.0,,,1,737.0,3
Estrella,Sanjiau,recuperacion,12.0,30.0,15.0,65.0,,,1,750.0,3
Estrella,Sanjiau,pase,12.0,31.0,15.0,65.0,20.0,62.0,1,751.0,3
Estrella,Romo,pase,12.0,34.0,20.0,61.0,57.0,52.0,1,754.0,3
Estrella,Dedomingo,recuperacion,12.0,37.0,35.0,15.0,,,1,757.0,3
Estrella,Dedomingo,conduccion,12.0,43.0,35.0,15.0,50.0,5.0,1,763.0,3
Estrella,Dedomingo,pase,12.0,44.0,51.0,5.0,65.0,4.0,1,764.0,3
Estrella,Tourn,pase,12.0,46.0,65.0,3.0,55.0,7.0,1,766.0,3
Estrella,Risculese,conduccion,12.0,50.0,55.0,7.0,74.0,34.0,1,770.0,3
Estrella,Risculese,remate,12.0,51.0,74.0,33.0,97.0,41.0,1,771.0,3
Estrella,Barneix,recuperacion,13.0,7.0,30.0,80.0,,,1,787.0,3
Estrella,Barneix,pase,13.0,8.0,30.0,79.0,35.0,80.0,1,788.0,3
Estrella,Romo,pase,13.0,10.0,35.0,79.0,55.0,97.0,1,790.0,3
Estrella,Videla,pase,13.0,14.0,55.0,95.0,50.0,81.0,1,794.0,3
Estrella,Villoldo,pase,13.0,18.0,49.0,80.0,44.0,68.0,1,798.0,3
Estrella,Retamozo,pase,13.0,21.0,43.0,68.0,45.0,10.0,1,801.0,3
Estrella,Tourn,pase,13.0,25.0,45.0,9.0,24.0,19.0,1,805.0,3
Estrella,Graso,pase,13.0,26.0,24.0,18.0,34.0,43.0,1,806.0,3
Estrella,Retamozo,pase,13.0,29.0,34.0,42.0,25.0,56.0,1,809.0,3
Estrella,Graso,despeje,13.0,35.0,16.0,26.0,,,1,815.0,3
Estrella,Risculese,recuperacion,13.0,38.0,45.0,33.0,,,1,818.0,3
Estrella,Risculese,pase,13.0,39.0,45.0,31.0,40.0,42.0,1,819.0,3
Estrella,Romo,pase,13.0,41.0,40.0,41.0,45.0,50.0,1,821.0,3
Estrella,Risculese,falta recibida,13.0,55.0,60.0,16.0,,,1,835.0,3
Estrella,Villoldo,tiro libre,14.0,41.0,60.0,15.0,90.0,47.0,1,881.0,3
Estrella,Graso,recuperacion,14.0,55.0,20.0,16.0,,,1,895.0,3
Estrella,Graso,conduccion,14.0,55.0,20.0,15.0,15.0,5.0,1,895.0,3
Estrella,Graso,pase,14.0,56.0,15.0,4.0,25.0,4.0,1,896.0,3
Estrella,Tourn,pase,14.0,58.0,24.0,3.0,20.0,10.0,1,898.0,3
Estrella,Graso,despeje,15.0,1.0,5.0,19.0,,,1,901.0,3
